song name,artist name,played at,timestamp
(You're The) Devil in Disguise,Elvis Presley,2023-05-16T15:58:23.154Z,2023-05-16
(Marie's The Name) His Latest Flame,Elvis Presley,2023-05-16T15:53:21.179Z,2023-05-16
Burning Love,Elvis Presley,2023-05-15T16:27:14.453Z,2023-05-15
can't get you out of my head,amelia liz,2023-05-01T02:53:39.691Z,2023-05-01
Umbrella,Slowzy,2023-05-01T02:49:14.107Z,2023-05-01
Killing Me Softly,ombinate,2023-05-01T02:47:25.678Z,2023-05-01
As It Was,ohlos,2023-05-01T02:44:58.298Z,2023-05-01
teenage dirtbag,NSW Kenny,2023-05-01T02:42:27.089Z,2023-05-01
somebody else,Miller Jones,2023-05-01T02:40:22.396Z,2023-05-01
Where Is My Mind? - Instrumental Version,Gal Dahan,2023-05-01T02:38:41.989Z,2023-05-01
God Girl,Salty Soundz,2023-05-01T02:37:13.654Z,2023-05-01
Still D.R.E.,Lofi Fruits Music,2023-05-01T02:34:24.706Z,2023-05-01
Watermelon Sugar,ohlos,2023-05-01T02:32:38.317Z,2023-05-01
Smells Like Teen Spirit,Slowzy,2023-05-01T02:30:21.595Z,2023-05-01
i try,Sinebreak,2023-05-01T02:28:58.529Z,2023-05-01
Zombie - Lofi Version,Sunday Without You,2023-05-01T02:26:44.331Z,2023-05-01
Gangsta's Paradise - Lofi Version,Covers Unplugged,2023-05-01T02:23:43.442Z,2023-05-01
Numb,Mount Eminest,2023-05-01T02:21:32.641Z,2023-05-01
nothing compares 2 u,Sophia Lopez,2023-05-01T02:19:26.137Z,2023-05-01
Location,DJ Garlik,2023-05-01T02:17:13.517Z,2023-05-01
bad day,niff_,2023-05-01T02:15:09.946Z,2023-05-01
Creepin,Bat Bilger,2023-05-01T02:12:51.432Z,2023-05-01
Mr. Brightside,Peaceful Melody,2023-05-01T02:09:40.460Z,2023-05-01
Running Up That Hill,Cal Credence,2023-05-01T02:07:36.130Z,2023-05-01
you shook me all night long,buggy beats,2023-05-01T02:05:26.226Z,2023-05-01
Take On Me,< b a r u b e a t >,2023-05-01T02:03:29.630Z,2023-05-01
Die For You,Ingelwood Syndicate,2023-05-01T01:59:52.910Z,2023-05-01
don't know why,lonely call,2023-05-01T01:56:23.208Z,2023-05-01
Riptide,Lofi Fruits Music,2023-05-01T01:54:15.121Z,2023-05-01
cake by the ocean,xOHARA,2023-05-01T01:52:33.779Z,2023-05-01
Euá,Sátyr,2023-05-01T01:50:18.616Z,2023-05-01
dancing in the moonlight,hinako fukushi,2023-05-01T01:47:34.023Z,2023-05-01
You'll Be In My Heart,Disney Lofi,2023-05-01T01:45:16.023Z,2023-05-01
Antihero,Chalk Gang,2023-05-01T01:40:26.507Z,2023-05-01
Parseh,Siavash Ghomayshi,2023-04-21T17:31:04.084Z,2023-04-21
Ageh To Beri,Siavash Ghomayshi,2023-04-21T15:51:59.666Z,2023-04-21
To Baroon Keh Rafty,Siavash Ghomayshi,2023-04-21T15:47:18.691Z,2023-04-21
Over The Rainbow,Frank Sinatra,2023-04-19T21:33:15.704Z,2023-04-19
My Way,Frank Sinatra,2023-04-19T21:32:52.689Z,2023-04-19
The First Noel - Remastered 1999,Frank Sinatra,2023-04-11T13:15:09.698Z,2023-04-11
Yesterday,Frank Sinatra,2023-04-11T13:15:04.626Z,2023-04-11
Angel Eyes - Live At The Sands Hotel And Casino/1966,Frank Sinatra,2023-04-11T13:11:05.217Z,2023-04-11
You Make Me Feel So Young - Remastered 1998,Frank Sinatra,2023-04-11T13:07:37.678Z,2023-04-11
Love Me,Elvis Presley,2023-04-10T21:31:29.498Z,2023-04-10
I Gotta Know,Elvis Presley,2023-04-10T21:30:18.876Z,2023-04-10
Pocketful of Rainbows,Elvis Presley,2023-04-10T21:28:02.841Z,2023-04-10
Trouble,Elvis Presley,2023-04-10T21:25:27.794Z,2023-04-10
Any Way You Want Me (That's How I Will Be),Elvis Presley,2023-04-10T21:23:11.120Z,2023-04-10
Suspicious Minds,Elvis Presley,2023-04-10T21:20:56.599Z,2023-04-10
That's All Right,Elvis Presley,2023-04-10T21:16:34.515Z,2023-04-10
